IDT;DIAMETRE;DDP;MATERIAU;MATAGE
0;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
1;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
2;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
3;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
4;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
5;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
6;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
7;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
8;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
9;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
10;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
11;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
12;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
13;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
14;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
15;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
16;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
17;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
18;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
19;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
20;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
21;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
22;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
23;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
24;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
25;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
26;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
27;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
28;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
29;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
30;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
31;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
32;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
33;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
34;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
35;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
36;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
37;80;01/01/1945;FONTEGRISE;FONTEGRISE19401970
38;60;01/01/1950;FONTEGRISE;FONTEGRISE19401970
39;60;01/01/1950;FONTEGRISE;FONTEGRISE19401970
40;60;01/01/1950;FONTEGRISE;FONTEGRISE19401970
41;100;01/01/2012;FONTEDUCTILE;FONTEDUCTILE20102020
42;150;01/01/1985;FONTEDUCTILE;FONTEDUCTILE19801990
43;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
44;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
45;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
46;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
47;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
48;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
49;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
50;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
51;80;01/01/1975;FONTEDUCTILE;FONTEDUCTILE19661980
52;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
53;60;01/01/1965;FONTEGRISE;FONTEGRISE19401970
54;250;01/01/1945;FONTEGRISE;FONTEGRISE19401970
55;250;01/01/1945;FONTEGRISE;FONTEGRISE19401970
56;250;01/01/1945;FONTEGRISE;FONTEGRISE19401970
57;250;01/01/1945;FONTEGRISE;FONTEGRISE19401970
58;250;01/01/1945;FONTEGRISE;FONTEGRISE19401970
59;150;01/01/1945;FONTEGRISE;FONTEGRISE19401970
