IDTC;DDCC
106806;22/12/1990
6377;29/02/2000
100552;13/03/2000
78889;06/10/1978
78895;18/01/1988
117076;19/11/1993
120634;20/01/1994
139748;11/07/1981
139748;12/02/1987
78895;16/12/1977
77293;05/01/1988
71060;04/01/1975
76490;17/11/1994
80160;28/08/1997
24193;08/01/1990
28623;05/09/1984
28623;26/10/1993
138124;10/01/1989
28636;09/07/1990
38132;29/11/1978
40570;06/07/1988
77622;23/11/1979
28618;25/10/1986
27237;03/03/1992
24420;15/12/1990
24098;05/01/1990
24193;12/11/1987
52854;01/08/1973
42717;27/07/1974
25295;18/02/1988
37782;10/12/1992
70626;13/05/1987
86541;03/02/1978
59894;15/11/1982
52031;09/12/1990
53232;21/01/1991
53232;21/01/1991
69966;18/01/1979
4785;21/09/1991
38468;11/01/1985
41323;25/01/1992
48207;13/11/1973
5098;21/08/1979
5098;21/08/1978
5085;18/11/1982
54362;28/11/1989
57615;25/02/1993
2593;08/11/1980
57615;03/07/1981
21103;21/08/1992
129930;20/02/1979
56112;02/01/1985
38191;02/02/1987
54362;07/01/1995
41223;22/01/1987
118698;04/04/1997
96418;23/11/1988
116162;07/04/1985
14323;04/08/1992
86494;29/11/1991
8616;02/09/1972
30128;19/12/1995
132186;10/08/1989
86209;28/11/1994
2444;25/07/1989
2444;21/08/1991
136788;31/12/1985
122590;17/09/1987
9715;25/10/1983
139673;11/06/2004
118348;14/06/2004
21099;29/04/2003
22169;14/08/1985
4385;04/08/1982
17278;23/11/1984
16392;08/02/1990
2593;08/11/1980
15103;19/12/1990
15103;08/03/1992
76722;21/03/1988
78914;15/12/1991
78459;14/11/1973
76335;30/11/1984
75639;07/09/1991
91011;22/02/2000
74985;26/09/1991
75181;08/07/1990
139744;30/01/1984
139744;02/01/1985
82489;12/10/1982
82489;10/08/1978
144291;26/06/1999
92495;28/07/1999
25145;13/09/1999
146579;07/05/1999
90516;16/03/1999
6015;04/01/1999
17563;11/02/1987
94341;07/09/1972
115992;09/04/1982
94341;20/10/1993
144291;24/09/1999
30588;02/04/1999
120200;20/03/1985
120192;26/04/1985
116162;10/08/1989
120188;30/08/1983
38241;27/09/1980
66201;24/06/1984
48525;19/09/1980
44428;25/10/1985
44425;04/02/1992
60671;15/12/1995
48886;02/07/1985
74661;21/02/1974
102272;27/12/1984
135034;15/04/1991
9717;20/12/1990
42203;11/01/1995
66865;29/11/1994
51438;24/11/1988
128557;14/02/1983
66415;22/06/1978
69979;04/05/1990
60709;18/12/1994
71169;07/11/1980
68846;25/12/1984
19363;30/01/1993
74571;29/09/1993
60103;20/01/1992
2989;22/09/1999
36836;05/07/1999
88927;29/07/1999
60670;02/12/1982
60663;02/12/1982
81370;28/06/1988
74675;06/09/1989
86759;01/12/1986
69283;10/08/1992
67974;12/11/1981
25145;03/08/1999
28604;07/01/1999
124243;17/05/1999
479;23/12/1999
15539;06/05/1999
75393;05/05/1999
69026;27/04/1999
112198;14/02/1999
55780;05/10/1999
123864;17/09/2002
82500;07/11/1975
135980;12/11/1991
78913;17/05/1984
78914;24/12/1975
124250;23/07/1999
15097;10/06/1999
138662;15/02/1999
63873;04/12/2003
66597;07/07/2001
52271;02/02/2001
84519;14/10/1992
78452;01/03/1974
78907;09/10/1990
78903;04/02/1981
78913;26/12/1982
78914;16/02/1981
25615;13/07/2004
69896;02/10/2002
138889;13/01/1991
48207;01/11/1996
49161;30/10/1996
48210;26/11/1996
29119;24/07/1996
38480;05/01/1997
24491;11/08/1992
25296;20/04/1988
11311;03/10/2002
97869;19/07/1996
90340;12/03/1999
104320;12/02/2000
72238;22/09/1999
117488;30/12/1999
127307;28/12/1999
59863;17/12/1999
55469;14/12/1992
66109;14/11/2000
57613;25/02/1996
